시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
양남시장,5일장,35.67521448,129.4638468,92,Y,Y,1943
단촌정기시장,5일장,36.42254768,128.6739013,45,Y,N,1947
단계시장,5일장,35.37712433,128.0111488,26,Y,Y,1952
서동시장,상설장,35.58134597,129.3469851,81,Y,N,2009
삼척중앙시장,상설장+5일장,37.44211915,129.1646216,282,Y,Y,1975
정선아리랑시장,상설장+5일장,37.3803854,128.6652325,163,Y,Y,1966
서남시장,상설장,35.85436588,128.5451779,46,Y,Y,1984
감전제일상가시장,상설장,35.15632532,128.9845484,23,Y,N,1977
안의시장,5일장,35.62629354,127.8140359,10,Y,Y,1997
광시시장,5일장,36.54911843,126.7744244,10,Y,Y,1925
남평5일시장,5일장,35.04581389,126.8415451,38,Y,Y,2007
밤고개자연시장(구 내덕자연시장),상설장+5일장,36.66241616,127.4886473,52,Y,Y,1985
의정부청과야채시장,상설장,37.73855067,127.0527096,67,Y,Y,1978
망미삼성상가시장,상설장,35.16942604,129.1028127,25,Y,Y,1992
승주시장,5일장,35.01325231,127.3910765,18,Y,Y,1964
대야전통시장,상설장+5일장,35.9448597,126.816085,53,Y,Y,1965
명산시장,상설장,35.98251878,126.7095107,65,Y,Y,1982
군산신영시장,상설장,35.98561509,126.72012,77,Y,Y,1985
원평공설시장(김제원평시장),상설장+5일장,35.71406357,126.9947325,36,Y,Y,1960
1913송정역시장(송정역전매일시장),상설장,35.13555958,126.7915346,73,Y,Y,1913
우산매일시장,상설장,35.16218922,126.8035258,44,Y,Y,1991
월곡시장,상설장,35.17129717,126.8096437,68,Y,Y,1998
산수시장,상설장,35.15348435,126.929739,80,Y,N,1974
남광주해뜨는시장,상설장,35.13896721,126.9212584,50,Y,Y,1975
남광주시장,상설장,35.13929961,126.9208082,225,Y,Y,1975
두암시장,상설장,35.17157442,126.9293831,27,Y,Y,1981
운암시장,상설장,35.1733763,126.8820026,64,Y,Y,1981
동부시장,상설장,35.1738826,126.9163398,35,Y,Y,1981
중흥시장,상설장,35.1616112,126.9108534,49,N,N,1977
광주양동시장,상설장,35.15390747,126.9025538,115,Y,Y,1969
양동닭전길시장,상설장,35.1528177,126.9039928,157,Y,Y,2005
쌍봉시장,상설장,34.76414545,127.6649804,28,Y,Y,1989
제일시장,상설장,34.76419231,127.6646531,63,Y,Y,1986
진남시장,상설장,34.76425827,127.6641294,118,Y,Y,1984
도깨비시장,상설장,34.76331689,127.6565415,124,Y,Y,1988
굴비골영광시장(구 영광매일시장),상설장,35.27513263,126.5123207,66,Y,Y,1985
영광터미널시장,상설장,35.27553643,126.5030198,91,Y,Y,1993
완도전통시장(구 완도5일시장),상설장+5일장,34.31610369,126.7482543,26,Y,Y,1981
천관산관광시장,상설장+5일장,34.56279797,126.9370792,43,Y,Y,1961
대덕읍전통시장(대덕시장),상설장+5일장,34.49942611,126.8871306,27,Y,Y,1985
정남진장흥토요시장,상설장+5일장,34.67726772,126.9031373,140,Y,Y,1961
진도상설전통시장,상설장,34.48135668,126.2649029,15,Y,Y,1985
함평천지전통시장,상설장+5일장,35.06373037,126.5234259,41,Y,Y,1903
고창전통시장,상설장+5일장,35.43266573,126.6987711,74,Y,Y,1965
군산주공시장,상설장,35.96576624,126.6954417,37,Y,Y,1985
역전종합시장,상설장,35.98098567,126.7203651,92,Y,Y,1965
양동건어물시장,상설장,35.15316871,126.9033339,64,Y,Y,2006
양동복개상가,상설장,35.15359895,126.9039282,268,Y,Y,1971
양동수산전통시장,상설장,35.15323947,126.9016656,165,Y,Y,2005
양동산업용품시장,상설장,35.15117026,126.9066176,151,Y,Y,2008
화정동서부시장,상설장,35.15303898,126.8792883,119,N,Y,2012
강진읍시장,상설장+5일장,34.64015663,126.7743169,93,Y,Y,1935
병영5일시장,상설장+5일장,34.7138022,126.8155552,8,Y,Y,1932
고흥전통시장,상설장+5일장,34.60835694,127.2866005,170,Y,Y,1915
녹동전통시장,상설장+5일장,34.52787725,127.1383083,65,Y,Y,1947
광영상설시장,상설장,34.96144871,127.7203625,42,Y,Y,1987
중마시장,상설장,34.93820196,127.6988477,80,Y,Y,1994
구례상설시장,상설장,35.20961971,127.465751,43,Y,Y,1976
금산금빛시장(금산시장),상설장+5일장,36.09951247,127.490976,211,Y,Y,1981
금산국제인삼시장(금산인삼국제시장),상설장,36.10191386,127.498346,203,Y,Y,1986
중부프라자,상설장,36.10453057,127.4910218,22,Y,Y,1981
금산인삼전통시장,상설장+5일장,36.10045233,127.4921846,110,Y,Y,2011
금산인삼쇼핑센타,상설장,36.1015148,127.4989542,55,Y,Y,1993
금산약초시장,상설장,36.1003757,127.4954712,33,Y,Y,1992
강경대흥시장,상설장+5일장,36.15597686,127.0136799,105,Y,Y,1955
강경젓갈시장,상설장,36.15755625,127.0098063,130,Y,N,1989
화지중앙시장,상설장,36.20691048,127.0852797,314,Y,Y,1950
연산전통시장,상설장+5일장,36.21620753,127.2164929,55,Y,Y,1911
당진전통시장,상설장+5일장,36.88993159,126.6296051,192,Y,Y,1974
합덕전통시장,상설장+5일장,36.80617206,126.7719672,64,Y,Y,1985
동부시장,상설장,36.34936363,126.597,67,Y,Y,1960
보령중앙시장,상설장+5일장,36.35085519,126.5941055,149,Y,Y,1960
보령한내시장,상설장+5일장,36.34962615,126.5958262,178,Y,Y,1960
대천항종합수산물시장,상설장,36.3266083,126.5061074,117,Y,Y,1960
웅천시장,상설장+5일장,36.23298807,126.6012701,83,Y,Y,1928
부여시장,상설장+5일장,36.28149721,126.9075601,86,Y,Y,1916
부여중앙시장,상설장,36.28191921,126.9121344,70,Y,Y,1945
서산동부전통시장(동부시장),상설장,36.78186159,126.4564473,245,Y,Y,1956
해미시장,상설장,36.71113111,126.5455722,71,Y,Y,1924
해미종합시장,상설장,36.71129685,126.5465002,46,Y,Y,1997
서천특화시장,상설장+5일장,36.07502677,126.6868171,336,Y,Y,2004
장항전통시장,상설장+5일장,36.01556607,126.6945736,105,Y,Y,2010
둔포전통시장(둔포시장),상설장+5일장,36.9294758,127.0360407,155,Y,Y,1960
온양온천시장(온양전통시장),상설장+5일장,36.78329506,127.0042346,377,Y,Y,1974
고덕시장,상설장+5일장,36.74392062,126.7052158,30,Y,Y,1961
가좌시장,상설장,37.4933969,126.684576,118,Y,N,1987
인천축산물시장,상설장,37.47899257,126.6884579,105,Y,Y,1982
인천강남시장,상설장,37.51122049,126.6719915,96,Y,Y,1984
신거북시장,상설장,37.50328543,126.6729875,93,Y,Y,1980
연수구옥련시장,상설장,37.42461526,126.6468259,81,N,N,1996
연수송도역전시장,상설장,37.42645827,126.657697,68,Y,N,1960
신흥시장,상설장,37.46605786,126.6366385,55,Y,Y,
신포시장,상설장,37.47146344,126.627806,134,Y,Y,
인천종합어시장,상설장,37.4541313,126.6071645,505,Y,Y,
신탄진시장,상설장+5일장,36.44915618,127.4265148,150,Y,Y,2005
송촌시장,상설장,36.36464157,127.4398696,38,Y,Y,2005
중리시장,상설장,36.3655916,127.4263925,171,Y,Y,2005
가양시장,상설장,36.34621833,127.443197,22,Y,Y,1979
신도시장,상설장,36.34952005,127.4471148,70,Y,Y,1982
용운시장,상설장,36.32781371,127.460578,55,Y,Y,1989
중앙종합시장,상설장,36.32858655,127.4322049,84,Y,Y,1985
신중앙시장,상설장,36.32729269,127.4336344,80,Y,Y,1975
자유도매시장,상설장,36.32923674,127.4320061,102,Y,Y,1981
중앙도매시장,상설장,36.32955629,127.4331792,74,Y,Y,1973
전통중앙도매상가,상설장,36.32983375,127.4337042,148,Y,Y,2011
정원시장,상설장,36.32910635,127.4316555,90,Y,Y,2017
대전상가시장,상설장,36.32178451,127.4366553,25,Y,N,1973
인동시장,상설장,36.3225352,127.4359133,49,Y,Y,1973
대전도매시장,상설장,36.33020609,127.4329155,43,Y,Y,1962
중앙상가시장,상설장,36.32961777,127.4311303,200,Y,Y,1962
도마큰시장,상설장,36.31580962,127.381368,430,Y,Y,1972
문창전통시장,상설장,36.31551575,127.4381793,204,Y,Y,1967
부사전통시장,상설장,36.31413817,127.4353766,48,Y,Y,1990
산성뿌리전통시장,상설장,36.30655402,127.3871238,53,Y,Y,1991
오류전통시장,상설장,36.32195799,127.407958,45,Y,N,1985
용두전통시장,상설장,36.32341318,127.4145695,27,N,N,1962
유천전통시장,상설장,36.31721058,127.3954494,71,Y,Y,1982
태평전통시장,상설장,36.32593972,127.3976994,142,Y,Y,1980
세종대평시장,상설장+5일장,36.4672657,127.282063,79,Y,Y,1946
아트프라자,상설장,37.56918604,127.0128249,391,Y,N,1990
강화중앙시장(a동b동),상설장,37.74685651,126.4838644,121,Y,Y,1981
강화터미널상가,상설장,37.73977639,126.4904031,135,Y,Y,1994
계산시장,상설장,37.53927741,126.7248447,112,Y,Y,1977
계양산전통시장,상설장,37.54803137,126.7394455,101,Y,Y,1980
작전시장,상설장,37.53248299,126.724325,126,Y,Y,1983
간석자유시장,상설장,37.46388599,126.7153438,138,Y,N,1970
남동산업용품상가,상설장,37.40695017,126.693402,820,Y,Y,1998
구월시장,상설장,37.45336936,126.7202675,138,Y,Y,1980
인천모래내전통시장,상설장,37.45420055,126.7214949,197,Y,Y,1982
구월도매전통시장,상설장,37.44366156,126.7056342,74,N,Y,1992
소래포구전통어시장,상설장,37.3974554,126.738637,338,Y,Y,1974
만수시장,상설장,37.46005013,126.7317927,68,Y,Y,1985
장승백이전통시장,상설장,37.44656074,126.7352311,255,Y,Y,1995
동부시장,상설장,37.47699523,126.6452568,65,Y,Y,1971
현대시장,상설장,37.47748437,126.646125,256,Y,Y,1960
인천산업용품유통센터,상설장,37.48482619,126.6547965,4735,Y,Y,1997
송림공구상가,상설장,37.48359521,126.6622078,323,Y,Y,1994
중앙시장,상설장,37.47535505,126.6333376,103,N,Y,1972
인천용남시장,상설장,37.45189911,126.6658426,62,Y,Y,1975
지리산나들이장터,상설장,35.31147841,127.444496,21,Y,Y,2014
나주목사고을시장,상설장+5일장,35.03624663,126.7237639,133,Y,Y,2012
목포종합수산시장,상설장,34.7877699,126.3898749,140,Y,Y,1989
자유시장,상설장,34.79296427,126.4030688,168,Y,Y,1999
신중앙시장,상설장,34.81025124,126.3775235,101,Y,Y,1998
청호시장,상설장,34.81537749,126.4245916,202,Y,Y,1999
항동시장,상설장,34.78600878,126.3856159,115,Y,Y,2005
동부시장,상설장,34.80439429,126.3930608,268,Y,Y,1972
제천고추시장,상설장,37.15643952,128.1750444,56,Y,Y,2003
제천중앙시장,상설장,37.13662174,128.211302,683,Y,Y,2005
내토전통시장,상설장,37.13734917,128.2124165,57,Y,Y,2007
동문전통시장,상설장,37.13850912,128.2135267,51,N,Y,2007
제천약초시장,상설장,37.12788708,128.219591,61,Y,Y,2005
제천역전한마음시장,상설장+5일장,37.12898225,128.2064464,62,Y,Y,2005
증평장뜰재래시장,상설장+5일장,36.78338958,127.5829564,94,Y,Y,1992
운수대통 생거진천전통시장,상설장+5일장,36.85993812,127.4501601,73,Y,Y,1976
진천중앙시장,상설장+5일장,36.85685858,127.4423712,53,Y,Y,1950
청주사창시장,상설장,36.63361051,127.4652985,94,Y,Y,1981
중앙시장,상설장,36.63882235,127.4889294,113,Y,N,1980
서문시장,상설장,36.63511643,127.4853665,106,Y,Y,1964
육거리종합시장,상설장+5일장,36.62794095,127.4881836,385,Y,Y,1970
사직시장,상설장,36.63614197,127.4768752,55,Y,Y,1981
청주두꺼비시장(구수곡시장),상설장,36.61744097,127.4729928,70,Y,N,1997
원마루시장,상설장,36.60903727,127.496414,120,Y,N,1998
북부시장,상설장,36.64797205,127.4862188,145,Y,Y,1970
오창전통시장,상설장+5일장,36.74173743,127.455627,89,Y,Y,1964
가경터미널시장,상설장,36.62770325,127.4349084,81,Y,Y,1994
복대가경시장,상설장,36.6295133,127.4432597,74,Y,Y,1990
직지시장,상설장,36.64658274,127.466327,55,Y,Y,1989
병천시장,상설장+5일장,36.76242249,127.298161,160,Y,Y,1918
성환이화시장,상설장+5일장,36.91810627,127.1309131,88,Y,Y,1914
성정시장,상설장,36.81267105,127.1392027,71,Y,Y,1988
청양전통시장,상설장+5일장,36.45048364,126.8018476,53,Y,Y,1971
정산시장,상설장+5일장,36.41059786,126.9480121,104,Y,Y,1919
태안동부시장(태안특산물전통시장),상설장+5일장,36.75151879,126.298721,99,Y,Y,1918
태안서부시장,상설장,36.75319167,126.2966565,154,Y,Y,1975
홍성상설시장,상설장,36.59973826,126.6637095,89,Y,Y,1981
홍성전통시장,상설장+5일장,36.60214738,126.6680243,220,Y,Y,1943
괴산전통시장,상설장+5일장,36.81122141,127.795017,148,Y,Y,1970
목도재래시장,상설장+5일장,36.87204723,127.8530539,72,Y,Y,1970
연풍전통시장,상설장+5일장,36.76472436,127.9951069,72,Y,Y,1970
청천전통시장,상설장+5일장,36.65914155,127.7378523,104,Y,Y,1964
단양구경시장(단양인정시장),상설장+5일장,36.9824892,128.3699866,120,Y,Y,1985
매포전통시장(매포재래시장),상설장+5일장,37.03422177,128.2990703,62,Y,Y,1992
하복대시장,상설장,36.63564465,127.4274621,61,N,N,2002
충주농산물종합시장(중앙청과시장),상설장,37.00399789,127.9230847,160,Y,Y,1995
목행시장,상설장+5일장,37.01395405,127.9173286,116,Y,Y,1982
무학시장,상설장,36.97459102,127.9272665,179,Y,Y,1970
관아골상가,상설장,36.97012329,127.9351179,104,Y,Y,2000
중앙어울림시장,상설장,36.97189219,127.9336123,41,Y,Y,1969
"성서중심시장(성서시장,문화의거리 통합)",상설장,36.97133411,127.9323927,336,Y,Y,1990
연원시장,상설장+5일장,36.98929115,127.9348022,56,Y,Y,1997
충주옹달샘시장,상설장,36.9646875,127.9325926,62,Y,Y,1970
충주자유시장,상설장+5일장,36.97393363,127.9306725,410,Y,Y,1970
송정매일시장,상설장,35.13745243,126.7968406,46,Y,Y,1982
역전시장,상설장+5일장,36.68702378,126.8298521,37,Y,Y,1955
예산상설시장,상설장+5일장,36.67696718,126.8499667,100,Y,Y,1981
천안역전시장,상설장,36.80990757,127.1489083,120,Y,Y,1955
천안중앙시장(구 남산중앙시장),상설장,36.80071908,127.1493019,520,Y,Y,1918
결초보은시장(구 보은종합시장),상설장+5일장,36.48291338,127.7193275,115,Y,Y,1964
보은전통시장,상설장+5일장,36.48429642,127.7201103,55,Y,Y,1964
회인재래시장,상설장+5일장,36.49052262,127.5978628,48,Y,N,1981
옥천상가,상설장,36.302388,127.5682115,54,Y,Y,1977
옥천공설시장,상설장,36.30251559,127.5679118,29,Y,Y,1964
감곡시장,상설장+5일장,37.11822831,127.6391733,50,Y,Y,1960
무극시장,상설장+5일장,36.99267414,127.5960077,108,Y,Y,1950
대소시장,상설장+5일장,36.96654372,127.4850145,82,Y,Y,1964
삼성시장,상설장+5일장,37.01800836,127.4991966,61,Y,Y,1960
음성시장,상설장+5일장,36.93816952,127.6921309,160,Y,Y,1950
덕산면전통시장,상설장+5일장,36.90858319,128.1679776,50,Y,Y,2007
부강전통시장,상설장+5일장,36.52850118,127.3688876,92,Y,Y,1964
전의왕의물시장,상설장+5일장,36.6777398,127.2058824,81,Y,Y,1946
세종전통시장,상설장+5일장,36.59978855,127.3006053,331,Y,Y,1931
공주산성시장,상설장+5일장,36.45881265,127.1226143,567,Y,Y,1937
유구시장,상설장+5일장,36.55270354,126.9518599,72,Y,Y,1928
산성시장활성화구역,상설장,36.4548805,127.1256762,257,Y,Y,1937
청량리청과물시장,상설장,37.58026982,127.0424763,154,Y,Y,1960
청량리농수산물시장,상설장,37.58091962,127.0408808,123,Y,Y,1970
청량리전통시장,상설장,37.58061217,127.043606,70,N,N,2003
회기시장,상설장,37.59096898,127.0549831,67,Y,Y,1980
이경시장,상설장,37.59459401,127.0665581,13,N,N,1974
남성사계시장,상설장,37.48816723,126.9815693,129,Y,Y,1960
남성역골목시장,상설장,37.48297561,126.9723106,66,N,Y,1960
상도전통시장,상설장,37.49874579,126.9521073,73,Y,Y,1970
성대시장,상설장,37.499747,126.9319148,46,Y,Y,1979
공덕시장,상설장,37.54478749,126.9532661,35,Y,N,1974
마포시장,상설장,37.54531004,126.9531865,100,Y,N,1977
망원동월드컵시장,상설장,37.55873307,126.9050773,50,Y,N,2006
망원시장,상설장,37.55715706,126.9059961,80,Y,Y,2006
마포농수산물시장,상설장,37.56519673,126.8984816,142,Y,Y,1998
아현시장,상설장,37.55640207,126.9550809,148,Y,N,2013
연희사러가,상설장,37.56714756,126.9296631,31,Y,Y,1971
영천시장,상설장,37.57033385,126.961853,138,Y,N,1960
포방터시장,상설장,37.5986742,126.9488953,88,Y,Y,1960
인왕시장,상설장,37.59076112,126.943681,96,Y,Y,1972
남부종합시장,상설장,37.49499733,126.9848131,134,Y,Y,1978
양재시장,상설장,37.48430625,127.0379675,35,Y,N,1981
금남시장,상설장,37.54862374,127.0230443,117,Y,Y,1962
마장축산물시장,상설장,37.57068419,127.0412827,847,Y,Y,1963
뚝도시장,상설장,37.53780127,127.0548196,141,Y,Y,1962
용답상가시장,상설장,37.56417453,127.0525299,167,Y,Y,2011
길음시장,상설장,37.60278279,127.0215958,86,Y,Y,1960
돌곶이시장(구 석관황금시장),상설장,37.60950239,127.0616561,82,Y,N,1970
정릉아리랑시장,상설장,37.60276623,127.0110414,51,N,N,1960
원당종합시장,상설장,37.47441435,126.9659151,17,Y,N,1980
신림중앙시장,상설장,37.48314387,126.9114142,49,Y,Y,1978
봉천제일종합시장,상설장,37.48125387,126.944419,31,Y,Y,1976
노룬산시장(건물형),상설장,37.5364854,127.0648775,44,Y,Y,1970
조양시장(건물형),상설장,37.53899664,127.0674931,21,Y,N,1970
능동로골목시장,상설장,37.53514624,127.0666637,74,Y,N,1973
광성시장,상설장,37.56358171,127.0811202,19,Y,Y,1980
신성종합시장(건물형),상설장,37.55808075,127.0880508,19,Y,N,1977
중곡제일시장(이오상사),상설장,37.56391495,127.0813016,138,Y,Y,1971
한아름시장,상설장,37.54396524,127.0697607,33,Y,Y,1980
가리봉시장,상설장,37.48167439,126.8890749,65,Y,N,1970
고척근린시장,상설장,37.50195711,126.8511138,68,Y,Y,1990
고척골목시장상점가,상설장,37.50336999,126.862737,72,Y,N,1980
남구로시장,상설장,37.49020442,126.8864389,184,Y,Y,1970
구로시장,상설장,37.48963599,126.8856144,154,Y,N,1962
별빛남문시장,상설장,37.47374661,126.9004255,108,Y,Y,1970
수유프라자,상설장,37.63169515,127.0234508,67,Y,Y,1998
비단길현대시장,상설장,37.45772651,126.9048774,185,Y,Y,2007
공릉동도깨비시장,상설장,37.62269001,127.0762455,109,N,Y,1977
상계중앙시장,상설장,37.65996769,127.0698577,80,Y,Y,1975
신도봉시장,상설장,37.67001813,127.0411223,160,Y,Y,1974
방학동도깨비시장,상설장,37.6659383,127.0362011,88,Y,Y,1982
쌍문시장,상설장,37.6483701,127.0329744,68,N,N,1983
백운시장,상설장,37.65549577,127.0148796,64,N,N,1970
창동신창시장,상설장,37.639431,127.0374459,76,Y,Y,1978
창동골목시장,상설장,37.63840333,127.0391448,59,Y,N,1970
답십리시장,상설장,37.57315455,127.0586943,79,Y,N,1970
답십리건축자재시장,상설장,37.56746274,127.053483,117,N,N,
청량리수산시장,상설장,37.57807246,127.0409472,118,Y,N,1979
이문제일시장,상설장,37.60432691,127.0625465,25,Y,N,1972
전곡시장,상설장,37.57789747,127.0684698,15,Y,N,1975
전농로터리시장,상설장,37.57814435,127.0570279,99,Y,N,1974
서울약령시장,상설장,37.58060537,127.0375862,976,Y,Y,1960
조암시장,상설장+5일장,37.082198,126.8170739,420,Y,Y,1929
시화유통상가,상설장,37.33533243,126.7284453,1804,Y,Y,2022
강남시장,상설장,37.51876501,127.020678,72,Y,Y,1974
신사상가,상설장,37.53228744,127.028409,84,Y,N,1976
청담삼익시장,상설장,37.52244687,127.0576251,176,Y,Y,1980
길동복조리시장,상설장,37.53757331,127.1437637,164,N,Y,2011
명일전통시장,상설장,37.54952811,127.1449523,51,Y,Y,2011
둔촌역전통시장,상설장,37.52806012,127.1349664,87,Y,Y,2010
성내전통시장,상설장,37.53416778,127.1278835,81,N,Y,2011
암사종합시장,상설장,37.55054704,127.1287149,119,Y,Y,2006
고분다리전통시장,상설장,37.54248857,127.1319259,104,Y,Y,2011
수유시장,상설장,37.63073125,127.0226688,66,Y,Y,1966
수유재래시장,상설장,37.63153319,127.0223292,106,Y,Y,2005
백년시장(강북종합전통시장),상설장,37.64155145,127.0257426,87,N,N,
수유전통시장(수유골목시장),상설장,37.63073125,127.0226688,82,Y,Y,2005
장미원골목시장,상설장,37.64512114,127.015478,98,Y,N,2015
등마루시장,상설장,37.55666129,126.8602626,60,Y,Y,1980
대원종합시장,상설장,37.5444853,126.8364772,30,Y,Y,1978
까치산시장,상설장,37.53152613,126.8478644,140,Y,Y,1970
남부화곡시장,상설장,37.53307159,126.858949,20,Y,Y,1978
남부골목시장,상설장,37.53318098,126.8600236,149,Y,Y,1970
화곡중앙시장,상설장,37.53488481,126.8395077,56,N,N,1979
화곡본동시장,상설장,37.54288286,126.8441299,50,Y,N,1968
봉일시장,상설장,37.48592711,126.9383777,27,Y,Y,1971
인헌시장,상설장,37.47486452,126.9647731,52,Y,Y,1980
봉천중앙시장,상설장,37.48419585,126.9543218,24,Y,Y,1969
봉천현대시장,상설장,37.48643059,126.9465863,26,Y,Y,1972
관악신사시장,상설장,37.48678805,126.9170747,100,Y,Y,1977
우림시장,상설장,37.47042842,126.9210041,17,Y,Y,1977
신림현대종합상가,상설장,37.47462652,126.9338049,99,Y,Y,1993
원당시장,상설장,37.65628119,126.8372523,68,N,Y,
능곡시장,상설장+5일장,37.62134419,126.8207793,41,Y,Y,2000
일산시장,상설장,37.68562383,126.7708323,88,Y,Y,
덕이동패션1번지,상설장,37.69302668,126.7557864,45,Y,Y,2001
과천새서울프라자시장,상설장,37.42682749,126.9925547,200,Y,Y,2004
제일쇼핑시장,상설장,37.42733209,126.9929952,80,Y,Y,2005
광명새마을시장,상설장,37.47365007,126.8513959,179,Y,Y,1986
광명전통시장,상설장,37.47994501,126.8561659,315,Y,Y,1972
경안시장,상설장+5일장,37.40885891,127.25703,91,Y,Y,2005
구리전통시장,상설장,37.59953937,127.1399081,321,Y,Y,1977
군포역전시장,상설장,37.35386925,126.9476651,60,Y,Y,1970
산본시장,상설장,37.36966875,126.938123,220,Y,Y,1985
통진시장,상설장,37.69129373,126.5997032,78,N,N,2012
남양주장현 전통시장,상설장+5일장,37.71836516,127.1827774,172,Y,N,1995
동두천제일시장,상설장,37.90517383,127.0522256,45,Y,Y,2005
통인시장,상설장,37.5807607,126.9699423,74,Y,N,1960
남대문시장,상설장,37.55918357,126.9776585,5111,Y,N,1964
숭례문수입상가,상설장,37.5593725,126.9762097,565,Y,Y,1980
삼익패션타운,상설장,37.56043619,126.9789484,1116,Y,Y,1985
대림상가,상설장,37.5671459,126.9954271,369,Y,Y,1972
청계상가,상설장,37.56797977,126.9953591,180,Y,Y,1972
남평화시장,상설장,37.56917723,127.0108327,547,Y,Y,1979
동평화시장,상설장,37.56935713,127.0137871,1115,Y,Y,1969
신평화패션타운,상설장,37.56945652,127.0110704,1385,Y,N,1968
벨포스트,상설장,37.56814098,127.0119645,400,Y,Y,1980
제일평화시장,상설장,37.56851044,127.0113985,780,Y,Y,1981
테크노상가,상설장,37.56884362,127.0132437,200,Y,Y,1996
Team204,상설장,37.56771738,127.0131982,225,Y,Y,1996
신중부시장,상설장,37.56553771,126.9994001,213,Y,Y,2005
중부시장,상설장,37.56506017,127.0019016,500,Y,N,1957
동화상가,상설장,37.5686099,127.0069161,975,Y,Y,1968
용현시장,상설장,37.45756673,126.6503669,211,Y,Y,1963
토지금고시장,상설장,37.45154621,126.6378049,125,Y,Y,2001
석바위시장,상설장,37.46015327,126.6927408,171,Y,Y,1979
인천남부종합시장,상설장,37.44737486,126.6783959,123,Y,Y,1987
부평종합시장,상설장,37.49649301,126.7266189,200,Y,Y,1974
진흥종합시장,상설장,37.49695039,126.7257012,54,Y,Y,1982
